No.,QRCODE,SLOT_NO,MAIN_LOADING_TIME,FIRST_IN_DATETIME,LAST_IN_DATETIME,QRCODE
205,A11F2S2642211935,6,2026-08-19 16:05,05:28.0,05:28.0,A11F2S2642211935
206,A11F2S2642211948,5,2026-08-19 16:05,05:28.0,05:28.0,A11F2S2642211948
207,A11F2S2642211940,1,2026-08-19 16:05,05:28.0,05:28.0,A11F2S2642211940
208,A11F2S2642211938,3,2026-08-19 16:05,05:28.0,05:28.0,A11F2S2642211938
209,A11F2S2642211949,4,2026-08-19 16:05,05:28.0,05:28.0,A11F2S2642211949
210,A11F2S2642211939,2,2026-08-19 16:05,05:28.0,05:28.0,A11F2S2642211939
211,A11F2S2642211928,2,2026-08-19 16:05,05:19.0,05:19.0,A11F2S2642211928
212,A11F2S2642211937,5,2026-08-19 16:05,05:19.0,05:19.0,A11F2S2642211937
213,A11F2S2642211936,6,2026-08-19 16:05,05:19.0,05:19.0,A11F2S2642211936
214,A11F2S2642211926,4,2026-08-19 16:05,05:19.0,05:19.0,A11F2S2642211926
215,A11F2S2642211929,1,2026-08-19 16:05,05:19.0,05:19.0,A11F2S2642211929
216,A11F2S2642211927,3,2026-08-19 16:05,05:19.0,05:19.0,A11F2S2642211927
217,A11F2S2642211917,6,2026-08-19 16:05,05:11.0,05:11.0,A11F2S2642211917
218,A11F2S2642211942,5,2026-08-19 16:05,05:11.0,05:11.0,A11F2S2642211942
219,A11F2S2642212542,2,2026-08-19 16:05,05:11.0,05:11.0,A11F2S2642212542
220,A11F2S2642212552,3,2026-08-19 16:05,05:11.0,05:11.0,A11F2S2642212552
221,A11F2S2642211943,4,2026-08-19 16:05,05:11.0,05:11.0,A11F2S2642211943
222,A11F2S2642212543,1,2026-08-19 16:05,05:11.0,05:11.0,A11F2S2642212543
223,A11F2S2642212556,4,2026-08-19 16:04,05:02.0,05:02.0,A11F2S2642212556
224,A11F2S2642212547,1,2026-08-19 16:04,05:02.0,05:02.0,A11F2S2642212547
225,A11F2S2642212558,2,2026-08-19 16:04,05:02.0,05:02.0,A11F2S2642212558
226,A11F2S2642212562,5,2026-08-19 16:04,05:02.0,05:02.0,A11F2S2642212562
227,A11F2S2642212561,6,2026-08-19 16:04,05:02.0,05:02.0,A11F2S2642212561
228,A11F2S2642212557,3,2026-08-19 16:04,05:02.0,05:02.0,A11F2S2642212557
229,A11F2S2642212549,6,2026-08-19 16:04,04:54.0,04:54.0,A11F2S2642212549
